abbr,full,dblp_uri,rank
Middleware,International Middleware Conference,conf/middleware,B
SAS,International Static Analysis Symposium,conf/sas,B
ESEM,International Symposium on Empirical Software Engineering and Measurement,conf/esem,B
FM,International Symposium on Formal Methods,conf/fm,B
ISSTA,International Symposium on Software Testing and Analysis,conf/issta,B
HotOS,USENIX Workshop on Hot Topics in Operating Systems,conf/hotos,B
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,conf/pepm,C
PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,conf/paste,C
APLAS,Asian Symposium on Programming Languages and Systems,conf/aplas,C
APSEC,Asia-Pacific Software Engineering Conference,conf/apsec,C
EASE,Evaluation and Assessment in Software Engineering,conf/ease,C
ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,conf/iceccs,C
ICST,"IEEE International Conference on Software Testing, Verification and Validation",conf/icst,C
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,conf/ispass,C
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,conf/scam,C
COMPSAC,International Computer Software and Applications Conference,conf/compsac,C
ICFEM,International Conference on Formal Engineering Methods,conf/icfem,C
TOOLS,"International Conference on Objects, Models, Components, Patterns",conf/tools,C
SCC,International Conference on Service Computing,conf/IEEEscc,C
ICSSP,International Conference on Software and System Process,conf/ispw,C
SEKE,International Conference on Software Engineering and Knowledge Engineering,conf/seke,C
QRS,"International Conference on Software Quality, Reliability and Security",conf/qrs,C
ICSR,International Conference on Software Reuse,conf/icsr,C
ICWE,International Conference on Web Engineering,conf/icwe,C
SPIN,International SPIN Workshop on Model Checking of Software,conf/spin,C
ATVA,International Symposium on Automated Technology for Verification and Analysis,conf/atva,C
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,conf/lopstr,C
TASE,International Symposium on Theoretical Aspects of Software Engineering,conf/tase,C
MSR,Mining Software Repositories,conf/msr,C
REFSQ,Requirements Engineering: Foundation for Software Quality,conf/refsq,C
WICSA,Working IEEE/IFIP Conference on Software Architecture,conf/wicsa,C
TODS,ACM Transactions on Database Systems,journals/tods,A 
TOIS,ACM Transactions on Information Systems,journals/tois,A 
TKDE,IEEE Transactions on Knowledge and Data Engineering,journals/tkde,A 
VLDBJ,The VLDB Journal,journals/vldb,A 
TKDD,ACM Transactions on Knowledge Discovery from Data,journals/tkdd,B
TWEB,ACM Transactions on the Web,journals/tweb,B
AEI,Advanced Engineering Informatics,journals/aei,B
DKE,Data and Knowledge Engineering,journals/dke,B
DMKD,Data Mining and Knowledge Discovery,journals/datamine,B
EJIS,European Journal of Information Systems,journals/ejis,B
,GeoInformatica,journals/geoinformatica,B
IPM,Information Processing and Management,journals/ipm,B
,Information Sciences,journals/isci,B
IS,Information Systems,journals/is,B
JASIST,Journal of the American Society for Information Science and Technology,journals/jasis,B
JWS,Journal of Web Semantics,journals/ws,B
KAIS,Knowledge and Information Systems,journals/kais,B
DPD,Distributed and Parallel Databases,journals/dpd,C
I&M,Information and Management,journals/iam,C
IPL,Information Processing Letters,journals/ipl,C
IR,Information Retrieval Journal,journals/ir,C
IJCIS,International Journal of Cooperative Information Systems,journals/ijcis,C
IJGIS,International Journal of Geographical Information Science,journals/gis,C
IJIS,International Journal of Intelligent Systems,journals/ijis,C
IJKM,International Journal of Knowledge Management,journals/ijkm,C
IJSWIS,International Journal on Semantic Web and Information Systems,journals/ijswis,C
JCIS,Journal of Computer Information Systems,journals/jcis,C
JDM,Journal of Database Management,journals/jdm,C
JGITM,Journal of Global Information Technology Management,,C
JIIS,Journal of Intelligent Information Systems,journals/jiis,C
JSIS,Journal of Strategic Information Systems,journals/jsis,C
SIGMODACM,Conference on Management of Data,conf/sigmod,A
SIGKDDACM,Knowledge Discovery and Data Mining,conf/kdd,A
ICDEIEEE,International Conference on Data Engineering,conf/icde,A
SIGIR,International Conference on Research on Development in Information Retrieval,conf/sigir,A
VLDB,International Conference on Very Large Data Bases,conf/vldb,A
CIKM,ACM International Conference on Information and Knowledge Management,conf/cikm,B
WSDM,ACM International Conference on Web Search and Data Mining,conf/wsdm,B
PODS,ACM Symposium on Principles of Database Systems,conf/pods,B
DASFAA,Database Systems for Advanced Applications,conf/dasfaa,B
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,conf/ecml,B
ISWC,IEEEInternational Semantic Web Conference,conf/semweb,B
ICDM,International Conference on Data Mining,conf/icdm,B
ICDT,International Conference on Database Theory,conf/icdt,B
EDBT,International Conference on Extending DB Technology,conf/edbt,B
CIDR,International Conference on Innovative Data Systems Research,conf/cidr,B
SDM,SIAM International Conference on Data Mining,conf/sdm,B
APWeb,Asia Pacific Web Conference,conf/apweb,C
DEXA,Database and Expert System Applications,conf/dexa,C
ECIR,European Conference on IR Research,conf/ecir,C
ESWC,Extended Semantic Web Conference,conf/esws,C
WebDB,International ACM Workshop on Web and Databases,conf/webdb,C
ER,International Conference on Conceptual Modeling,conf/er,C
MDM,International Conference on Mobile Data Management,conf/mdm,C
SSDBM,International Conference on Scientific and Statistical DB Management,conf/ssdbm,C
WAIM,International Conference on Web Age Information Management,conf/waim,C
SSTD,International Symposium on Spatial and Temporal Databases,conf/ssd,C
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,conf/pakdd,C
WISE,Web Information Systems Engineering,conf/wise,C
TIT,IEEE Transactions on Information Theory,journals/tit,A
IANDC,Information and Computation,journals/iandc,A
SICOMP,SIAM Journal on Computing,journals/siamcomp,A
TALG,ACM Transactions on Algorithms,journals/talg,B
TOCL,ACM Transactions on Computational Logic,journals/tocl,B
TOMS,ACM Transactions on Mathematical Software,journals/toms,B
Algorithmica,Algorithmica,journals/algorithmica,B
CC,Computational complexity,journals/cc,B
FAC,Formal Aspects of Computing,journals/fac,B
FMSD,Formal Methods in System Design,journals/fmsd,B
INFORMS,INFORMS Journal on Computing,journals/informs,B
JCSS,Journal of Computer and System Sciences,journals/jcss,B
JGO,Journal of Global Optimization,journals/jgo,B
JSC,Journal of Symbolic Computation,journals/jsc,B
MSCS,Mathematical Structures in Computer Science,journals/mscs,B
TCS,Theoretical Computer Science,journals/tcs,B
ACTA,Acta Informatica,journals/acta,C
APAL,Annals of Pure and Applied Logic,journals/apal,C
DAM,Discrete Applied Mathematics,journals/dam,C
FUIN,Fundamenta Informaticae,journals/fuin,C
LISP,Higher-Order and Symbolic Computation,journals/lisp,C
IPL,Information Processing Letters,journals/ipl,C
JCOMPLEXITY,Journal of Complexity,journals/jc,C
LOGCOM,Journal of Logic and Computation,journals/logcom,C
JSL,Journal of Symbolic Logic,journals/jsyml,C
LMCS,Logical Methods in Computer Science,journals/lmcs,C
SIDMA,SIAM Journal on Discrete Mathematics,journals/siamdm,C
,Theory of Computing Systems,journals/mst,C
STOC,ACM Symposium on Theory of Computing,conf/stoc,A
SODA,ACM-SIAM Symposium on Discrete Algorithms,conf/soda,A
CAV,Computer Aided Verification,conf/cav,A
FOCS,IEEE Annual Symposium on Foundations of Computer Science,conf/focs,A
LICS,IEEE Symposium on Logic in Computer Science,conf/lics,A
SoCG,ACM Symposium on Computational Geometry,conf/compgeom,B
ESA,European Symposium on Algorithms,conf/esa,B
CCC,IEEE Conference on Computational Complexity,conf/coco,B
ICALP,"International Colloquium on Automata, Languages and Programming",conf/icalp,B
CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,conf/cade,B
CONCUR,International Conference on Concurrency Theory,conf/concur,B
HSCC,International Conference on Hybrid Systems: Computation and Control,conf/hybrid,B
SAT,Theory and Applications of Satisfiability Testing,conf/sat,B
CSL,Computer Science Logic,conf/csl,C
FMCAD,Formal Method in Computer-Aided Design,conf/fmcad,C
FSTTCS,Foundations of Software Technology and Theoretical Computer Science,conf/fsttcs,C
DSAA,IEEE International Conference on Data Science and Advanced Analytics,conf/dsaa,C
ICTAC,International Colloquium on Theoretical Aspects of Computing,conf/ictac,C
IPCO,International Conference on Integer Programming and Combinatorial Optimization,conf/ipco,C
RTA,International Conference on Rewriting Techniques and Applications,conf/rta,C
ISAAC,International Symposium on Algorithms and Computation,conf/isaac,C
MFCS,Mathematical Foundations of Computer Science,conf/mfcs,C
STACS,Symposium on Theoretical Aspects of Computer Science,conf/stacs,C
TOG,ACM Transactions on Graphics,journals/tog,A
TIP,IEEE Transactions on Image Processing,journals/tip,A
TVCG,IEEE Transactions on Visualization and Computer Graphics,journals/tvcg,A
TOMCCAP,"ACM Transactions on Multimedia Computing,Communications and Application",journals/tomccap,B
CAGD,Computer Aided Geometric Design,journals/cagd,B
CGF,Computer Graphics Forum,journals/cgf,B
CAD,Computer-Aided Design,journals/cad,B
GM,Graphical Models,journals/cvgip,B
TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,journals/tcsv,B
TMM,IEEE Transactions on Multimedia,journals/tmm,B
JASA,Journal of The Acoustical Society of America,,B
SIIMS,SIAM Journal on Imaging Sciences,journals/siamis,B
Speech Com,Speech Communication,journals/speech,B
CGTA,Computational Geometry: Theory and Applications,journals/comgeo,C
CAVW,Computer Animation and Virtual Worlds,journals/jvca,C
C&G,Computers & Graphics,journals/cg,C
DCG,Discrete & Computational Geometry,journals/dcg,C
SPL,IEEE Signal Processing Letters,journals/spl,C
IET-IPR,IET Image Processing,journals/iet-ipr,C
JVCIR,Journal of Visual Communication and Image Representation,journals/jvcir,C
MS,Multimedia Systems,journals/mms,C
MTA,Multimedia Tools and Applications,journals/mta,C
,Signal Processing,journals/sigpro,C
SPIC,Signal processing : image communication,journals/spic,C
TVC,The Visual Computer,journals/vc,C
ACM MM,ACM International Conference on Multimedia,conf/mm,A
SIGGRAPH,ACM SIGGRAPH Annual Conference,conf/siggraph,A
VR,IEEE Virtual Reality,conf/vr,A
IEEE VIS,IEEE Visualization Conference,conf/visualization,A
ICMR,ACM SIGMM International Conference on Multimedia Retrieval,conf/mir,B
SI3D,ACM Symposium on Interactive 3D Graphics,conf/si3d,B
SCA,ACM/Eurographics Symposium on Computer Animation,conf/sca,B
DCC,Data Compression Conference,conf/dcc,B
EG,Eurographics,conf/eurographics,B
EuroVis,Eurographics Conference on Visualization,conf/vissym,B
SGP,Eurographics Symposium on Geometry Processing,conf/sgp,B
EGSR,Eurographics Symposium on Rendering,conf/rt,B
ICASSP,"IEEE International Conference on Acoustics,Speech and SP",conf/icassp,B
ICME,IEEE International Conference on Multimedia& Expo,conf/icmcs,B
ISMAR,International Symposium on Mixed and Augmented Reality,conf/ismar,B
PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,conf/pg,B
SPM,Symposium on Solid and Physical Modeling,conf/sma,B
,ACM Symposium on Virtual Reality Software and Technology,conf/vrst,C
CASA,Computer Animation and Social Agents,conf/ca,C
CGI,Computer Graphics International,conf/cgi,C
INTERSPEECH,Conference of the International SpeechCommunication Association,conf/interspeech,C
GMP,Geometric Modeling and Processing,conf/gmp,C
PacificVis,IEEE Pacific Visualization Symposium,conf/apvis,C
3DV,International Conference on 3D Vision,conf/3dim,C
CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,conf/cadgraphics,C
ICIP,International Conference on Image Processing,conf/icip,C
MMM,International Conference on Multimedia Modeling,conf/mmm,C
PCM,Pacific-Rim Conference on Multimedia,conf/pcm,C
SMI,Shape Modeling International,conf/smi,C
AI,Artificial Intelligence,journals/ai,A
TPAMI,IEEE Trans on Pattern Analysis and Machine Intelligence,journals/pami,A
IJCV,International Journal of Computer Vision,journals/ijcv,A
JMLR,Journal of Machine Learning Research,journals/jmlr,A
TAP,ACM Transactions on Applied Perception,journals/tap,B
TSLP,ACM Transactions on Speech and Language Processing,journals/tslp,B
AAMAS,Autonomous Agents and Multi-Agent Systems,journals/aamas,B
,Computational Linguistics,journals/coling,B
CVIU,Computer Vision and Image Understanding,journals/cviu,B
DKE,Data and Knowledge Engineering,journals/dke,B
,Evolutionary Computation,journals/ec,B
TAC,IEEE Transactions on Affective Computing,journals/taffco,B
TASLP,"IEEE Transactions on Audio, Speech, and Language Processing",journals/taslp,B
,IEEE Transactions on Cybernetics,journals/tcyb,B
